epsilon,prompt,category,processing_time,energy_consumption,privacy_applied,entities_detected,entities_protected,sketch_quality_score,response_quality_score,privacy_preservation_score,final_response_length
0.01,I want to plan a trip to Tokyo for 3 days with my family,Tourism,3.8981058597564697,74.0453586268425,True,2,2,8.5,8.5,10.0,647
0.01,"My summer holiday is coming, I want to go to Paris for traveling",Tourism,3.199096918106079,36.61411173462868,True,2,2,4.5,3.5,10.0,766
0.01,I would like to spend 4 days exploring New York with 2 family members,Tourism,2.628654956817627,29.66479898571968,True,2,2,5.5,2.5,10.0,552
0.01,A 28-year-old female patient named Emma reports symptoms: focal_neurological_symptoms,Medical,2.7479279041290283,31.917600760459905,True,2,0,8.5,6.5,0.0,723
0.01,My name is Alice and I live in Boston. Find me a doctor.,Medical,2.5377089977264404,33.447425665855405,True,2,2,8.5,3.5,10.0,645
0.01,"A 42-year-old patient reports symptoms: altered_appetite, pain, fever",Medical,3.0523860454559326,54.88247552394867,False,1,0,8.5,7.5,0.0,807
0.01,I want to file a dispute regarding a charge of $10 on my Chase card,Banking,2.6116340160369873,38.1303126335144,True,1,1,8.5,6.5,10.0,578
0.01,"Dear PNC Bank, I wish to raise a concern regarding a charge of $25 on my account",Banking,2.9121248722076416,45.968459386825565,True,1,1,8.5,6.5,10.0,571
0.01,I need help with transferring money from my account to another bank,Banking,2.6987340450286865,39.56404227733612,False,0,0,8.5,5.5,10.0,547
0.01,Compose an engaging travel blog post about a recent trip to Hawaii,Common,2.910928726196289,53.57623559832573,False,1,0,8.5,5.5,0.0,826
0.01,Draft a professional email seeking feedback on the Quarterly Sales Report,Common,2.6988327503204346,39.025576643943786,False,0,0,8.5,4.5,10.0,471
0.01,Compare two popular smartphone models for a blog post,Common,2.9061450958251953,34.77249391078949,False,0,0,9.0,6.5,10.0,619
0.1,I want to plan a trip to Tokyo for 3 days with my family,Tourism,2.7562508583068848,30.649933738708498,True,2,2,8.5,8.5,5.0,666
0.1,"My summer holiday is coming, I want to go to Paris for traveling",Tourism,3.1146349906921387,43.96358441591263,True,2,2,3.5,4.5,10.0,657
0.1,I would like to spend 4 days exploring New York with 2 family members,Tourism,2.755711793899536,34.79132795333862,True,2,2,7.5,3.5,10.0,551
0.1,A 28-year-old female patient named Emma reports symptoms: focal_neurological_symptoms,Medical,2.7475528717041016,31.789570157527923,True,2,0,8.0,6.5,0.0,723
